VehId,Trip,window_id,duration_s,sample_count,mean_speed_kmh,max_speed_kmh,std_speed_kmh,mean_pos_accel_ms2,max_pos_accel_ms2,mean_neg_accel_ms2,min_neg_accel_ms2,hard_braking_events,hard_braking_rate_min,rapid_accel_events,rapid_accel_rate_min,high_jerk_events,idle_ratio,mean_power_kw,total_energy_kwh,cluster_id,cluster_label,pca_x,pca_y
455,2014,4,120.0,113,39.01,71.25,23.12,0.71,1.475,-0.743,-2.204,1,0.5,0,0.0,0,0.088,4.58,0.1448,1,Moderado / Regular,0.7935160650591262,0.47423491853662786
455,2014,5,120.0,120,45.95,67.49,14.13,0.5,1.533,-0.727,-2.265,2,1.0,0,0.0,0,0.0,5.23,0.1745,0,Econômico / Suave,-0.15056463385076824,0.7738604912236324
455,2021,0,120.0,112,47.55,63.13,17.72,0.472,2.184,-0.693,-1.881,0,0.0,2,1.0,0,0.071,4.63,0.1515,2,Agressivo / Dinâmico,1.0364682085551211,0.4071932360497987
455,2021,1,120.0,113,26.56,63.07,20.6,0.818,3.389,-0.821,-2.736,4,2.0,3,1.5,0,0.062,4.01,0.126,2,Agressivo / Dinâmico,3.9253237552053903,-1.418978565613098
455,2021,2,120.0,119,60.07,73.82,14.08,0.438,1.477,-0.781,-2.912,5,2.5,0,0.0,0,0.0,3.05,0.1048,0,Econômico / Suave,0.17908761601867523,1.839910902677636
455,2021,3,120.0,112,34.61,66.94,20.13,0.926,2.522,-1.058,-2.213,3,1.5,5,2.5,0,0.08,5.83,0.1804,2,Agressivo / Dinâmico,3.742285085804111,-1.3270223822064173
455,2021,4,119.0,91,33.11,67.84,25.83,0.823,2.254,-0.907,-1.999,0,0.0,2,1.01,0,0.297,1.96,0.054,2,Agressivo / Dinâmico,2.44954481474928,-0.5535491936196311
455,2021,5,115.0,101,41.14,74.57,27.9,0.626,2.691,-0.771,-2.275,4,2.09,3,1.57,0,0.158,4.2,0.1207,2,Agressivo / Dinâmico,3.4753356862798848,0.3077933521535815
455,2025,0,120.0,120,85.08,114.42,23.75,0.568,1.869,-0.587,-2.309,2,1.0,0,0.0,0,0.0,21.12,0.7041,0,Econômico / Suave,1.6126666650158188,3.0287650344003074
455,2025,1,120.0,120,93.48,132.13,29.09,0.374,1.075,-0.921,-2.814,6,3.0,0,0.0,0,0.0,13.8,0.4601,0,Econômico / Suave,1.2650302064964711,4.680213471517489
455,2025,2,120.0,120,98.24,107.02,6.45,0.263,0.5,-0.244,-0.422,0,0.0,0,0.0,0,0.0,10.49,0.3497,0,Econômico / Suave,-2.021168521166911,3.6410612626795573
455,2025,3,120.0,120,93.05,110.58,20.1,0.427,1.639,-0.602,-2.523,3,1.5,0,0.0,0,0.0,14.19,0.4728,0,Econômico / Suave,0.9535271948058027,3.6464947245608035
455,2025,4,34.0,33,45.29,72.99,16.53,0.613,1.264,-1.039,-2.162,3,5.29,0,0.0,0,0.0,-0.0,-0.0012,2,Agressivo / Dinâmico,1.0900723334747027,1.3948398782882037
455,2038,0,120.0,114,51.55,75.37,24.12,0.531,1.642,-0.714,-1.823,0,0.0,0,0.0,0,0.088,4.37,0.1414,1,Moderado / Regular,0.6210106867692029,1.3593359087793955
455,2040,0,120.0,107,47.7,82.3,23.47,0.542,2.146,-0.894,-2.269,1,0.5,2,1.0,0,0.121,7.08,0.2125,2,Agressivo / Dinâmico,1.7350576208190431,0.6879637226280999
455,2040,1,120.0,107,18.53,75.31,22.66,0.438,0.834,-0.704,-1.942,0,0.0,0,0.0,0,0.187,1.0,0.0337,1,Moderado / Regular,-1.020674884796738,0.07181702431321119
455,2040,2,115.0,101,8.34,23.41,7.26,0.374,1.201,-0.382,-1.003,0,0.0,0,0.0,0,0.198,1.04,0.0319,1,Moderado / Regular,-2.0817581436726713,-1.2962939545091972
455,2040,3,111.0,85,9.29,32.96,10.15,0.624,1.332,-0.392,-0.944,0,0.0,0,0.0,0,0.271,2.54,0.064,1,Moderado / Regular,-1.0639836643644307,-1.598967188114363
455,2051,0,118.0,105,45.2,66.64,21.4,0.477,1.423,-0.313,-0.987,0,0.0,0,0.0,0,0.067,7.08,0.2101,1,Moderado / Regular,-0.03963281611065311,1.0672685493772942
